SessionToken,Username,CreatedAt,ExpiresAt,SomeNumber
0d6e71e9-3e30-46ae-975b-baf31d7f074a,3d,2023-04-26 20:24:02.364429,2023-05-03 20:24:02.364429,54
e94e552f-6d9e-4d40-b024-bdf83ce836d1,3d,2023-05-24 20:24:02.364429,2023-05-31 20:24:02.364429,73
c748dfed-86a3-45dc-9a58-3cc3d303e9df,3d,2023-04-24 20:24:02.364429,2023-05-01 20:24:02.364429,26
b82bcce5-38ba-452f-a892-a6dca12300e9,3d,2023-05-23 20:24:02.364429,2023-05-30 20:24:02.364429,62
94ddbd0e-17ea-4130-a340-99a59d5bf105,3d,2023-05-11 20:24:02.364429,2023-05-18 20:24:02.364429,83
0aa7686d-6d27-464a-b703-a4017ad8dca1,3d,2023-05-04 20:24:02.364429,2023-05-11 20:24:02.364429,4
16eff831-7bc7-48cf-bfdd-af4bee007872,3d,2023-05-27 20:24:02.364429,2023-06-03 20:24:02.364429,62
b3118fbc-a757-4ff7-a122-c4f41f71120b,3d,2023-05-14 20:24:02.364429,2023-05-21 20:24:02.364429,9
86e0c40b-7fcf-4179-ab0f-05d987de60be,3d,2023-05-09 20:24:02.364429,2023-05-16 20:24:02.364429,95
fca79a93-3d52-4c4e-88d9-6557d4a20611,a,2023-04-26 20:24:02.364429,2023-05-03 20:24:02.364429,53
43c5ba56-3fd3-4c93-ac19-81207dccfc0f,a,2023-05-02 20:24:02.364429,2023-05-09 20:24:02.364429,77
39662462-8413-4b3d-935f-6c648e1ee5ef,a,2023-05-16 20:24:02.364429,2023-05-23 20:24:02.364429,48
3f2abd69-4b32-4b18-a17e-ee90cda372f9,a,2023-05-20 20:24:02.364429,2023-05-27 20:24:02.364429,36
79e9177c-bcc8-4de8-bdcd-b4bf876c1895,a,2023-05-10 20:24:02.364429,2023-05-17 20:24:02.364429,58
5b4e5fbd-f7e3-4f96-92d6-c7d6d1b7d75a,a1,2023-05-13 20:24:02.364429,2023-05-20 20:24:02.364429,84
0d36fe05-e1c7-4cef-9f0f-34807c05d277,a1,2023-05-17 20:24:02.364429,2023-05-24 20:24:02.364429,17
8714bab5-90d0-4dc7-a4cb-1da2e3e4d8a7,aa,2023-05-09 20:24:02.364429,2023-05-16 20:24:02.364429,56
36ece5af-6299-436a-815e-27bc0a6f347d,aa,2023-06-02 20:24:02.364429,2023-06-09 20:24:02.364429,48
d4855c01-6e4b-4db2-8bf2-21aec6b6bf73,aa,2023-04-26 20:24:02.364429,2023-05-03 20:24:02.364429,74
f3c19202-2cb1-4aa6-bce8-a8ad523fdb33,aa,2023-04-24 20:24:02.364429,2023-05-01 20:24:02.364429,30
f61bab83-9fc4-4c33-b53d-7d4bd3848789,aa,2023-05-02 20:24:02.364429,2023-05-09 20:24:02.364429,24
26e31e5a-922e-4f69-8c47-ab316066f725,aa,2023-05-13 20:24:02.364429,2023-05-20 20:24:02.364429,68
a1463cc8-3ebd-4369-8488-f4ed776d05de,aa,2023-05-17 20:24:02.364429,2023-05-24 20:24:02.364429,98
3fe1cd55-47ab-49c3-857f-7673fd647099,aaberg,2023-05-14 20:24:02.364429,2023-05-21 20:24:02.364429,85
906fdf8e-01d1-4eb9-95e0-393417f8e640,aaberg,2023-05-29 20:24:02.364429,2023-06-05 20:24:02.364429,57
be4b3d85-396d-41c0-bc19-dbd20cfb7c49,aaberg,2023-05-21 20:24:02.364429,2023-05-28 20:24:02.364429,60
769dca52-0130-4e90-ace3-e645c9d0024e,aachen,2023-05-31 20:24:02.364429,2023-06-07 20:24:02.364429,41
fb2317a7-9471-4375-a00e-26fa28abe871,aalborg,2023-05-04 20:24:02.364429,2023-05-11 20:24:02.364429,28
2ad85a2d-d576-44ed-8e45-c14eae1b1fa9,aalborg,2023-05-20 20:24:02.364429,2023-05-27 20:24:02.364429,30
99aefc7f-f44d-4342-b9d9-7467751c1286,aalborg,2023-04-26 20:24:02.364429,2023-05-03 20:24:02.364429,4
7f319149-9ad8-4db0-b6e6-b1f2e7b00cf8,aalborg,2023-05-25 20:24:02.364429,2023-06-01 20:24:02.364429,38
2c2d876f-65a8-4d12-bf8c-865c26499045,aalborg,2023-06-01 20:24:02.364429,2023-06-08 20:24:02.364429,84
e6b99722-0ddf-45dc-8b9f-6d10d1ab553e,aalborg,2023-04-28 20:24:02.364429,2023-05-05 20:24:02.364429,68
fad7f430-c230-4b43-9ca3-f6536ad6f16a,aalborg,2023-04-29 20:24:02.364429,2023-05-06 20:24:02.364429,19
dd661f28-f460-4201-985f-d49f069ab95a,aalborg,2023-05-18 20:24:02.364429,2023-05-25 20:24:02.364429,72
9afa5c8f-7571-421b-9bdd-9d18ddb1a545,aalesund,2023-06-01 20:24:02.364429,2023-06-08 20:24:02.364429,19
aea3a359-5f86-4069-9c90-823c35c2d379,aalesund,2023-05-01 20:24:02.364429,2023-05-08 20:24:02.364429,99
65646abc-6560-4ceb-b31b-bc4d101b3fd7,aalesund,2023-04-30 20:24:02.364429,2023-05-07 20:24:02.364429,56
46815ebc-38cf-4421-9ab6-0ebfe1281e93,aalesund,2023-05-04 20:24:02.364429,2023-05-11 20:24:02.364429,24
9f175633-49fd-49fd-884a-7c80082a78fc,aalesund,2023-05-16 20:24:02.364429,2023-05-23 20:24:02.364429,55
3485817f-cc5d-42b9-8ac3-7b54995ed63f,aalii,2023-05-22 20:24:02.364429,2023-05-29 20:24:02.364429,31
02b64663-22f5-4105-a017-c7b89eb27f28,aalii,2023-05-11 20:24:02.364429,2023-05-18 20:24:02.364429,18
f6c52068-195f-4684-b1fe-62097013260b,aalii,2023-06-02 20:24:02.364429,2023-06-09 20:24:02.364429,66
1ff5a65a-eeb0-44b0-a979-59dac96a2f46,aalii,2023-05-05 20:24:02.364429,2023-05-12 20:24:02.364429,15
e74c57bb-7730-4491-bd0f-7da36e092c38,aalii,2023-05-11 20:24:02.364429,2023-05-18 20:24:02.364429,58
6f27cb9c-483c-4257-894a-8adc828774f3,aalii,2023-05-13 20:24:02.364429,2023-05-20 20:24:02.364429,21
470a1ab1-35bb-4863-abd5-7aaf55e67fe9,aalst,2023-05-05 20:24:02.364429,2023-05-12 20:24:02.364429,99
0347e1cd-8036-40bb-8e23-76ef039fe953,aalst,2023-05-05 20:24:02.364429,2023-05-12 20:24:02.364429,61
0b863ed1-447f-49d6-9bbb-3206ab610d3f,aalst,2023-05-16 20:24:02.364429,2023-05-23 20:24:02.364429,41
7f8ea04e-2b6f-4ce4-a3d0-6e099b44843d,aalst,2023-05-21 20:24:02.364429,2023-05-28 20:24:02.364429,28
6bcbd98e-bdb3-48d4-8cba-84c8f107b802,aalst,2023-04-24 20:24:02.364429,2023-05-01 20:24:02.364429,69
7685a08f-573b-4408-8b54-4c20becff636,aalst,2023-04-26 20:24:02.364429,2023-05-03 20:24:02.364429,42
98da27a9-0073-4a9a-bf6b-e7a3f7af5a2c,aalst,2023-05-14 20:24:02.364429,2023-05-21 20:24:02.364429,31
58d420eb-327e-4256-9def-1ee5df37b5dd,aalst,2023-04-29 20:24:02.364429,2023-05-06 20:24:02.364429,33
2d641d7a-4f18-4ddf-b19d-2f0f53893d69,aalst,2023-05-22 20:24:02.364429,2023-05-29 20:24:02.364429,51
20f8d388-1ebd-49a0-b00b-73f92c06f1bf,aalst,2023-05-31 20:24:02.364429,2023-06-07 20:24:02.364429,20
3684d73f-036a-438f-9c0a-80545869e10e,aalto,2023-05-25 20:24:02.364429,2023-06-01 20:24:02.364429,86
